subscription_id,customer_id,plan_tier,mrr_value,start_date,end_date,status,billing_cycle
48,46,Basic,59.92,2025-03-01,2026-03-01,canceled,monthly
49,47,Basic,48.65,2026-02-01,,active,monthly
50,48,Pro,207.07,2026-03-01,,active,monthly
51,49,Basic,41.73,2025-11-01,,active,monthly
52,50,Basic,56.97,2025-07-01,,active,monthly
53,51,Basic,57.82,2025-01-01,2025-05-01,canceled,monthly
54,52,Basic,53.93,2025-04-01,2025-11-01,canceled,monthly
55,53,Pro,195.37,2025-12-01,,active,monthly
56,54,Basic,41.68,2025-09-01,,active,monthly
57,55,Basic,53.7,2025-04-01,,active,monthly
58,56,Pro,234.22,2025-03-01,,active,monthly
59,57,Pro,211.4,2025-11-01,,active,monthly
60,58,Basic,62.99,2025-07-01,2025-10-01,canceled,monthly
61,59,Basic,53.99,2025-06-01,2025-08-01,canceled,monthly
62,60,Pro,178.53,2025-10-01,,active,monthly
63,61,Enterprise,1079.91,2024-10-01,,active,monthly
64,62,Pro,238.43,2025-01-01,2025-09-01,canceled,monthly
65,63,Pro,193.56,2025-08-01,2026-01-01,canceled,monthly
66,64,Basic,42.31,2025-05-01,2025-10-01,canceled,monthly
67,65,Enterprise,911.67,2024-10-01,2025-02-01,canceled,monthly
68,66,Basic,50.0,2025-06-01,,active,monthly
69,67,Basic,50.67,2025-04-01,2025-10-01,canceled,monthly
70,68,Pro,223.0,2025-06-01,2026-01-01,downgraded,monthly
71,68,Basic,63.52,2026-02-01,2026-05-01,canceled,monthly
72,69,Enterprise,943.34,2024-12-01,2025-10-01,downgraded,monthly
73,69,Pro,230.67,2025-11-01,2025-12-01,canceled,monthly
74,70,Basic,50.52,2025-04-01,2025-10-01,canceled,monthly
75,71,Enterprise,962.05,2026-02-01,,active,monthly
76,72,Basic,48.48,2025-11-01,,active,monthly
77,73,Pro,236.14,2025-01-01,2025-05-01,downgraded,monthly
78,73,Basic,47.49,2025-06-01,2025-07-01,canceled,monthly
79,74,Pro,254.0,2025-03-01,2025-09-01,canceled,monthly
80,75,Pro,248.33,2026-05-01,,active,monthly
81,76,Pro,183.72,2025-12-01,,active,monthly
82,77,Pro,254.14,2024-12-01,,active,monthly
83,78,Pro,233.77,2025-04-01,,active,monthly
84,79,Basic,46.63,2025-03-01,,active,monthly
85,80,Pro,239.71,2025-03-01,,active,monthly
86,81,Pro,215.28,2025-10-01,2025-11-01,canceled,monthly
87,82,Basic,52.86,2025-05-01,2025-07-01,canceled,monthly
88,83,Pro,179.4,2025-01-01,2026-08-01,canceled,monthly
89,84,Basic,50.94,2025-09-01,,active,monthly
90,85,Basic,63.58,2025-04-01,2026-05-01,canceled,monthly
91,86,Pro,177.11,2025-10-01,2026-07-01,canceled,monthly
92,87,Basic,62.34,2025-01-01,,active,monthly
93,88,Enterprise,1101.96,2025-01-01,2026-04-01,downgraded,monthly
94,88,Pro,235.66,2026-05-01,2027-01-01,canceled,monthly
95,89,Basic,47.61,2026-03-01,,active,monthly
96,90,Enterprise,929.95,2024-10-01,2025-12-01,canceled,monthly
97,91,Pro,257.04,2025-06-01,,active,monthly
98,92,Basic,61.53,2025-07-01,2026-05-01,canceled,monthly
99,93,Basic,46.17,2025-07-01,,active,monthly
100,94,Pro,230.05,2025-03-01,,active,monthly
101,95,Basic,50.85,2025-07-01,,active,monthly
102,96,Pro,214.4,2025-08-01,2025-12-01,canceled,monthly
103,97,Basic,50.87,2026-02-01,,active,monthly
104,98,Pro,245.53,2024-11-01,2025-04-01,canceled,monthly
105,99,Pro,245.54,2026-04-01,,active,monthly
106,100,Basic,44.69,2025-11-01,,active,monthly
107,101,Basic,54.81,2024-11-01,2025-09-01,canceled,monthly
108,102,Basic,61.37,2025-11-01,2026-04-01,canceled,monthly
109,103,Enterprise,1004.5,2026-03-01,,active,monthly
110,104,Basic,62.81,2025-01-01,2025-06-01,canceled,monthly
111,105,Basic,54.64,2025-06-01,,active,monthly
112,106,Basic,60.42,2025-01-01,,active,monthly
113,107,Basic,50.66,2025-09-01,2026-06-01,canceled,monthly
114,108,Basic,54.15,2026-01-01,,active,monthly
115,109,Basic,46.17,2025-04-01,2025-05-01,canceled,monthly
116,110,Enterprise,915.67,2025-05-01,2026-01-01,canceled,monthly
117,111,Basic,41.78,2025-07-01,,active,monthly
118,112,Basic,50.27,2026-01-01,,active,monthly
119,113,Basic,53.66,2025-02-01,2026-01-01,canceled,monthly
120,114,Pro,246.69,2025-01-01,,active,monthly
121,115,Pro,172.26,2025-06-01,2025-09-01,canceled,monthly
122,116,Pro,253.5,2025-12-01,,active,monthly
123,117,Basic,47.69,2025-10-01,2026-05-01,upgraded,monthly
124,117,Pro,203.41,2026-06-01,,active,monthly
125,118,Enterprise,931.43,2025-07-01,,active,monthly
126,119,Basic,44.71,2024-11-01,2025-09-01,upgraded,monthly
127,119,Pro,192.66,2025-10-01,2027-06-01,canceled,monthly
128,120,Pro,185.74,2025-01-01,2025-02-01,canceled,monthly
129,121,Enterprise,893.63,2025-03-01,,active,monthly
130,122,Basic,52.13,2025-01-01,2026-05-01,canceled,monthly
131,123,Enterprise,882.96,2025-10-01,,active,monthly
132,124,Enterprise,798.0,2025-05-01,,active,monthly
133,125,Basic,42.63,2025-08-01,2025-10-01,canceled,monthly
134,126,Pro,254.22,2024-12-01,2025-05-01,canceled,monthly
135,127,Basic,44.85,2025-02-01,2026-02-01,canceled,monthly
136,128,Pro,179.75,2025-01-01,2025-07-01,canceled,monthly
137,129,Basic,56.85,2025-11-01,2026-01-01,canceled,monthly
138,130,Basic,45.9,2025-07-01,,active,monthly
139,131,Pro,234.35,2025-04-01,2025-09-01,downgraded,monthly
140,131,Basic,55.8,2025-10-01,2026-09-01,canceled,monthly
141,132,Pro,248.56,2025-03-01,2025-10-01,canceled,monthly
142,133,Basic,60.39,2025-06-01,2026-07-01,canceled,monthly
143,134,Enterprise,876.5,2025-10-01,2026-04-01,canceled,monthly
144,135,Basic,48.72,2025-04-01,,active,monthly
145,136,Pro,190.49,2024-12-01,2026-03-01,canceled,monthly
146,137,Basic,44.67,2025-01-01,2025-03-01,canceled,monthly
147,138,Pro,195.06,2025-08-01,,active,monthly
148,139,Basic,62.52,2025-04-01,,active,monthly
149,140,Enterprise,802.61,2025-09-01,2026-04-01,downgraded,monthly
150,140,Basic,55.25,2026-05-01,2026-11-01,canceled,monthly
151,141,Pro,220.18,2025-04-01,,active,monthly
152,142,Pro,187.06,2025-07-01,,active,monthly
153,143,Pro,201.4,2025-07-01,2025-08-01,canceled,monthly
154,144,Basic,42.61,2025-03-01,2026-05-01,canceled,monthly
155,145,Basic,46.45,2025-10-01,2025-12-01,upgraded,monthly
156,145,Pro,195.33,2026-01-01,2026-09-01,canceled,monthly
157,146,Enterprise,894.15,2025-02-01,,active,monthly
158,147,Pro,242.8,2025-08-01,2026-08-01,canceled,monthly
159,148,Pro,206.04,2025-07-01,2026-08-01,canceled,monthly
160,149,Pro,179.75,2025-01-01,,active,monthly
161,150,Basic,57.48,2026-02-01,,active,monthly
162,151,Basic,50.07,2025-09-01,2026-05-01,canceled,monthly
163,152,Enterprise,795.72,2026-02-01,2026-04-01,downgraded,monthly
164,152,Pro,255.09,2026-05-01,,active,monthly
165,153,Basic,44.24,2026-04-01,2026-05-01,canceled,monthly
166,154,Pro,248.13,2024-11-01,2025-03-01,canceled,monthly
167,155,Enterprise,1123.1,2025-04-01,,active,monthly
168,156,Basic,42.26,2025-09-01,2025-11-01,canceled,monthly
169,157,Pro,177.5,2025-01-01,2025-05-01,canceled,monthly
170,158,Basic,56.85,2025-07-01,,active,monthly
171,159,Pro,193.74,2025-02-01,,active,monthly
172,160,Pro,171.58,2025-06-01,,active,monthly
173,161,Basic,62.27,2025-02-01,,active,monthly
174,162,Basic,56.75,2025-10-01,,active,monthly
175,163,Enterprise,1141.15,2025-04-01,,active,monthly
176,164,Pro,217.26,2025-04-01,,active,monthly
177,165,Basic,48.9,2024-10-01,2024-12-01,canceled,monthly
178,166,Basic,59.28,2025-02-01,2026-02-01,upgraded,monthly
179,166,Pro,217.82,2026-03-01,,active,monthly
180,167,Pro,180.27,2025-10-01,,active,monthly
181,168,Basic,51.7,2025-09-01,2025-11-01,upgraded,monthly
182,168,Pro,217.31,2025-12-01,,active,monthly
183,169,Basic,44.76,2025-08-01,2025-10-01,canceled,monthly
184,170,Pro,228.38,2025-11-01,,active,monthly
185,171,Enterprise,1128.26,2025-07-01,,active,monthly
186,172,Basic,46.48,2025-03-01,2025-04-01,canceled,monthly
187,173,Basic,44.65,2025-12-01,,active,monthly
188,174,Basic,53.36,2025-03-01,,active,monthly
189,175,Enterprise,1100.55,2025-01-01,2025-08-01,downgraded,monthly
190,175,Basic,45.2,2025-09-01,2025-09-01,canceled,monthly
191,176,Pro,186.89,2024-10-01,2025-05-01,upgraded,monthly
192,176,Enterprise,850.32,2025-06-01,2026-10-01,canceled,monthly
193,177,Basic,62.82,2025-03-01,,active,monthly
194,178,Pro,182.29,2025-01-01,,active,monthly
195,179,Basic,50.8,2025-07-01,2025-08-01,canceled,monthly
196,180,Pro,211.17,2025-06-01,2026-03-01,canceled,monthly
197,181,Basic,62.15,2024-12-01,2025-06-01,canceled,monthly
198,182,Pro,256.99,2025-09-01,,active,monthly
199,183,Basic,61.46,2025-08-01,,active,monthly
200,184,Pro,233.56,2025-06-01,2025-12-01,canceled,monthly
201,185,Basic,47.64,2025-01-01,2026-01-01,canceled,monthly
202,186,Pro,216.57,2025-03-01,,active,monthly
203,187,Pro,229.21,2025-03-01,,active,monthly
204,188,Basic,61.93,2025-12-01,,active,monthly
205,189,Basic,62.41,2025-08-01,2025-12-01,canceled,monthly
206,190,Basic,60.06,2026-02-01,2026-05-01,upgraded,monthly
207,190,Pro,245.53,2026-06-01,,active,monthly
208,191,Basic,60.02,2025-02-01,2025-07-01,canceled,monthly
209,192,Basic,48.24,2026-02-01,,active,monthly
210,193,Pro,179.61,2025-03-01,,active,monthly
211,194,Basic,63.51,2024-12-01,,active,monthly
212,195,Basic,58.41,2024-12-01,2025-12-01,canceled,monthly
213,196,Basic,54.42,2025-12-01,2026-01-01,canceled,monthly
214,197,Pro,211.05,2025-12-01,,active,monthly
215,198,Basic,47.16,2026-06-01,,active,monthly
216,199,Enterprise,1057.38,2025-05-01,2026-02-01,downgraded,monthly
217,199,Basic,50.88,2026-03-01,2026-10-01,canceled,monthly
218,200,Basic,53.97,2025-03-01,2025-04-01,canceled,monthly
219,201,Pro,238.02,2025-03-01,,active,monthly
220,202,Pro,173.83,2025-02-01,2025-11-01,upgraded,monthly
221,202,Enterprise,825.17,2025-12-01,,active,monthly
222,203,Basic,44.11,2025-05-01,2025-12-01,canceled,monthly
223,204,Pro,227.11,2026-05-01,,active,monthly
224,205,Basic,58.21,2025-07-01,,active,monthly
225,206,Pro,205.5,2025-10-01,,active,monthly
226,207,Pro,240.36,2025-12-01,2026-01-01,canceled,monthly
227,208,Pro,201.04,2025-08-01,,active,monthly
228,209,Pro,243.9,2025-02-01,2026-05-01,canceled,monthly
229,210,Pro,186.68,2025-03-01,,active,monthly
230,211,Pro,244.05,2025-12-01,,active,monthly
231,212,Basic,54.65,2025-04-01,2026-03-01,upgraded,monthly
232,212,Pro,239.61,2026-04-01,2026-07-01,canceled,monthly
233,213,Basic,63.36,2024-12-01,2026-07-01,canceled,monthly
234,214,Enterprise,1004.52,2025-11-01,,active,monthly
235,215,Basic,60.05,2025-03-01,,active,monthly
236,216,Enterprise,949.74,2025-09-01,2025-11-01,canceled,monthly
237,217,Pro,232.46,2025-07-01,2025-09-01,canceled,monthly
238,218,Basic,52.81,2025-01-01,2025-10-01,canceled,monthly
239,219,Pro,191.58,2024-09-01,2026-05-01,canceled,monthly
240,220,Pro,182.57,2025-07-01,,active,monthly
241,221,Basic,47.08,2025-10-01,2026-03-01,canceled,monthly
242,222,Basic,48.86,2024-12-01,2025-10-01,canceled,monthly
243,223,Basic,50.53,2025-03-01,2026-02-01,canceled,monthly
244,224,Pro,214.4,2024-11-01,2026-05-01,canceled,monthly
245,225,Enterprise,963.9,2025-09-01,,active,monthly
246,226,Pro,256.73,2025-08-01,2026-04-01,canceled,monthly
247,227,Enterprise,865.08,2025-05-01,,active,monthly
248,228,Basic,57.22,2024-12-01,,active,monthly
249,229,Basic,54.76,2026-02-01,2026-07-01,canceled,monthly
250,230,Basic,53.17,2025-04-01,,active,monthly
251,231,Pro,201.8,2026-01-01,,active,monthly
252,232,Pro,252.01,2025-12-01,,active,monthly
253,233,Pro,184.26,2025-12-01,2026-05-01,canceled,monthly
254,234,Pro,185.17,2025-01-01,,active,monthly
255,235,Enterprise,830.53,2025-10-01,2026-06-01,canceled,monthly
256,236,Basic,52.04,2025-02-01,2025-04-01,canceled,monthly
257,237,Pro,207.04,2025-03-01,2026-07-01,canceled,monthly
258,238,Enterprise,872.92,2025-04-01,,active,monthly
259,239,Pro,186.45,2025-08-01,2025-11-01,canceled,monthly
260,240,Enterprise,1126.04,2025-03-01,2025-06-01,downgraded,monthly
261,240,Pro,250.49,2025-07-01,,active,monthly
262,241,Enterprise,1130.78,2025-07-01,,active,monthly
263,242,Pro,247.22,2024-11-01,2025-02-01,canceled,monthly
264,243,Basic,63.22,2025-07-01,2026-01-01,canceled,monthly
265,244,Pro,234.45,2025-08-01,2026-05-01,canceled,monthly
266,245,Basic,59.86,2024-11-01,2025-04-01,canceled,monthly
267,246,Pro,200.27,2025-04-01,2025-12-01,canceled,monthly
268,247,Pro,233.41,2025-06-01,2026-08-01,canceled,monthly
269,248,Enterprise,885.75,2024-12-01,,active,monthly
270,249,Basic,51.06,2025-12-01,,active,monthly
271,250,Basic,48.11,2025-08-01,2025-10-01,canceled,monthly
272,251,Pro,215.22,2025-02-01,2025-06-01,canceled,monthly
273,252,Basic,54.18,2024-12-01,2025-09-01,canceled,monthly
274,253,Basic,52.51,2025-12-01,,active,monthly
275,254,Pro,207.95,2026-04-01,,active,monthly
276,255,Enterprise,926.56,2025-05-01,,active,monthly
277,256,Basic,52.7,2026-01-01,,active,monthly
278,257,Basic,52.05,2025-09-01,,active,monthly
279,258,Basic,43.08,2025-03-01,2025-07-01,canceled,monthly
280,259,Pro,249.05,2025-04-01,,active,monthly
281,260,Pro,216.52,2025-08-01,,active,monthly
282,261,Pro,238.69,2026-03-01,,active,monthly
283,262,Pro,254.14,2025-05-01,2025-08-01,canceled,monthly
284,263,Basic,62.78,2025-02-01,2025-05-01,canceled,monthly
285,264,Basic,0.0,2025-11-01,2026-02-01,canceled,monthly
286,265,Pro,194.29,2025-02-01,,active,monthly
287,266,Basic,49.8,2024-11-01,2024-12-01,canceled,monthly
288,267,Pro,179.88,2025-03-01,2026-03-01,canceled,monthly
289,268,Basic,45.21,2025-05-01,2025-11-01,canceled,monthly
290,269,Pro,204.17,2025-01-01,2025-11-01,canceled,monthly
291,270,Enterprise,1077.87,2026-03-01,,active,monthly
292,271,Basic,44.28,2025-12-01,,active,monthly
293,272,Basic,56.94,2025-12-01,,active,monthly
294,273,Basic,56.69,2025-08-01,,active,monthly
295,274,Pro,254.25,2025-01-01,2026-07-01,canceled,monthly
296,275,Basic,61.26,2026-04-01,2026-05-01,canceled,monthly
297,276,Basic,54.5,2025-12-01,,active,monthly
298,277,Basic,42.79,2025-11-01,,active,monthly
299,278,Basic,44.7,2025-06-01,2025-10-01,canceled,monthly
300,279,Basic,42.18,2025-04-01,,active,monthly
301,280,Basic,46.21,2025-02-01,2025-04-01,canceled,monthly
302,281,Basic,56.39,2025-07-01,2026-04-01,upgraded,monthly
303,281,Pro,200.73,2026-05-01,,active,monthly
304,282,Basic,49.09,2024-10-01,2026-02-01,canceled,monthly
305,283,Enterprise,1162.16,2025-07-01,2026-01-01,downgraded,monthly
306,283,Pro,176.78,2026-02-01,,active,monthly
307,284,Pro,252.4,2026-03-01,,active,monthly
308,285,Enterprise,936.35,2025-08-01,,active,monthly
309,286,Enterprise,784.45,2025-05-01,2025-12-01,downgraded,monthly
310,286,Pro,226.81,2026-01-01,2026-04-01,downgraded,monthly
311,286,Basic,49.89,2026-05-01,2026-07-01,canceled,monthly
312,287,Basic,48.92,2025-10-01,,active,monthly
313,288,Pro,251.8,2025-05-01,2026-07-01,canceled,monthly
314,289,Pro,255.22,2025-02-01,2025-07-01,canceled,monthly
315,290,Basic,57.62,2026-03-01,,active,monthly
316,291,Basic,61.31,2024-11-01,2026-06-01,canceled,monthly
317,292,Basic,43.43,2025-02-01,,active,monthly
318,293,Pro,205.22,2025-11-01,,active,monthly
319,294,Basic,41.96,2025-11-01,,active,monthly
320,295,Basic,63.38,2025-07-01,2026-06-01,canceled,monthly
321,296,Basic,61.46,2025-02-01,,active,monthly
322,297,Enterprise,1029.55,2025-07-01,,active,monthly
323,298,Pro,244.62,2026-04-01,,active,monthly
324,299,Basic,47.58,2025-05-01,2025-09-01,canceled,monthly
325,300,Basic,45.72,2025-03-01,2026-02-01,canceled,monthly
326,301,Enterprise,883.84,2025-02-01,,active,monthly
327,302,Basic,55.64,2024-12-01,2025-06-01,canceled,monthly
328,303,Pro,194.44,2025-12-01,2026-04-01,downgraded,monthly
329,303,Basic,56.57,2026-05-01,,active,monthly
330,304,Pro,241.98,2026-05-01,,active,monthly
331,305,Basic,52.84,2025-05-01,2026-04-01,canceled,monthly
332,306,Pro,248.39,2024-12-01,,active,monthly
333,307,Pro,230.26,2025-08-01,2025-10-01,canceled,monthly
334,308,Enterprise,987.41,2026-05-01,,active,monthly
335,309,Enterprise,843.28,2025-06-01,2025-08-01,downgraded,monthly
336,309,Pro,170.11,2025-09-01,2025-11-01,canceled,monthly
337,310,Basic,55.23,2025-10-01,,active,monthly
338,311,Enterprise,956.81,2025-03-01,,active,monthly
339,312,Basic,48.05,2025-04-01,2025-06-01,canceled,monthly
340,313,Enterprise,1146.25,2026-01-01,2026-04-01,canceled,monthly
341,314,Pro,198.58,2025-01-01,2026-08-01,canceled,monthly
342,315,Basic,42.04,2025-12-01,,active,monthly
343,316,Pro,252.46,2025-02-01,,active,monthly
344,317,Basic,47.6,2025-08-01,2025-11-01,canceled,monthly
345,318,Basic,45.64,2025-02-01,,active,monthly
346,319,Basic,47.02,2025-04-01,2026-05-01,canceled,monthly
347,320,Basic,56.33,2025-03-01,,active,monthly
348,321,Basic,61.62,2025-08-01,,active,monthly
349,322,Basic,55.61,2025-10-01,2025-11-01,canceled,monthly
350,323,Basic,55.84,2024-11-01,,active,monthly
351,324,Basic,59.47,2025-03-01,2025-07-01,canceled,monthly
352,325,Basic,48.88,2025-06-01,,active,monthly
353,326,Basic,41.69,2025-06-01,2026-07-01,canceled,monthly
354,327,Pro,245.0,2025-05-01,2026-04-01,downgraded,monthly
355,327,Basic,46.7,2026-05-01,2026-12-01,canceled,monthly
356,328,Pro,252.13,2025-10-01,2026-02-01,canceled,monthly
357,329,Pro,188.66,2024-10-01,2025-05-01,canceled,monthly
358,330,Pro,221.15,2024-10-01,2026-03-01,canceled,monthly
359,331,Pro,242.2,2026-03-01,,active,monthly
360,332,Basic,54.8,2024-12-01,2025-11-01,canceled,monthly
361,333,Basic,59.25,2025-09-01,,active,monthly
362,334,Basic,47.05,2026-01-01,,active,monthly
363,335,Enterprise,987.32,2025-08-01,,active,monthly
364,336,Basic,58.23,2025-08-01,2025-09-01,canceled,monthly
365,337,Enterprise,837.92,2024-12-01,,active,monthly
366,338,Basic,61.2,2024-11-01,,active,monthly
367,339,Enterprise,1045.56,2024-12-01,,active,monthly
368,340,Enterprise,909.45,2025-04-01,,active,monthly
369,341,Pro,234.22,2025-02-01,2025-04-01,canceled,monthly
370,342,Pro,188.15,2024-12-01,2026-06-01,downgraded,monthly
371,342,Basic,63.09,2026-07-01,,active,monthly
372,343,Pro,223.82,2025-07-01,2026-08-01,canceled,monthly
373,344,Enterprise,981.59,2025-08-01,,active,monthly
374,345,Basic,62.83,2025-10-01,,active,monthly
375,346,Enterprise,989.76,2025-11-01,2026-06-01,canceled,monthly
376,347,Pro,170.32,2026-02-01,,active,monthly
377,348,Basic,42.08,2026-02-01,,active,monthly
378,349,Basic,57.11,2025-12-01,2026-01-01,canceled,monthly
379,350,Pro,172.04,2026-01-01,2026-07-01,canceled,monthly
380,351,Basic,53.98,2025-11-01,,active,monthly
381,352,Pro,245.32,2026-04-01,2026-05-01,canceled,monthly
382,353,Basic,52.78,2025-01-01,,active,monthly
383,354,Enterprise,1084.96,2025-09-01,,active,monthly
384,355,Pro,232.54,2025-03-01,2025-08-01,downgraded,monthly
385,355,Basic,43.95,2025-09-01,2026-08-01,canceled,monthly
386,356,Basic,53.13,2025-01-01,2025-09-01,canceled,monthly
387,357,Pro,200.59,2025-09-01,,active,monthly
388,358,Basic,42.06,2025-06-01,2025-09-01,canceled,monthly
389,359,Pro,227.07,2025-04-01,2025-10-01,canceled,monthly
390,360,Basic,48.17,2025-03-01,,active,monthly
391,361,Basic,57.07,2025-05-01,,active,monthly
392,362,Basic,54.15,2025-08-01,2026-03-01,canceled,monthly
393,363,Basic,54.12,2025-10-01,2025-12-01,canceled,monthly
394,364,Enterprise,786.52,2025-07-01,,active,monthly
395,365,Enterprise,869.89,2025-08-01,,active,monthly
396,366,Pro,209.93,2024-11-01,,active,monthly
397,367,Pro,184.03,2025-10-01,2026-06-01,canceled,monthly
398,368,Basic,62.01,2024-12-01,2025-03-01,canceled,monthly
399,369,Enterprise,922.49,2026-06-01,,active,monthly
400,370,Pro,172.31,2025-01-01,,active,monthly
401,371,Pro,235.53,2025-07-01,,active,monthly
402,372,Basic,63.03,2024-10-01,2025-11-01,upgraded,monthly
403,372,Pro,179.01,2025-12-01,2026-07-01,canceled,monthly
404,373,Pro,253.41,2025-03-01,2026-05-01,canceled,monthly
405,374,Basic,57.54,2025-02-01,,active,monthly
406,375,Enterprise,826.01,2025-01-01,,active,monthly
407,376,Basic,58.47,2025-10-01,2026-02-01,canceled,monthly
408,377,Pro,232.38,2025-09-01,,active,monthly
409,378,Pro,251.34,2026-01-01,,active,monthly
410,379,Basic,46.1,2025-05-01,,active,monthly
411,380,Pro,184.71,2026-01-01,,active,monthly
412,381,Basic,52.35,2025-04-01,2025-07-01,upgraded,monthly
413,381,Enterprise,1160.8,2025-08-01,2026-07-01,downgraded,monthly
414,381,Basic,44.3,2026-08-01,2026-08-01,canceled,monthly
415,382,Basic,46.39,2026-02-01,,active,monthly
416,383,Basic,50.1,2025-09-01,2025-10-01,canceled,monthly
417,384,Pro,190.86,2025-05-01,2025-07-01,canceled,monthly
418,385,Pro,183.42,2025-01-01,2025-11-01,canceled,monthly
419,386,Pro,188.58,2025-06-01,,active,monthly
420,387,Basic,53.49,2024-12-01,2025-03-01,canceled,monthly
421,388,Pro,191.78,2025-02-01,,active,monthly
422,389,Basic,57.66,2025-05-01,2025-08-01,canceled,monthly
423,390,Basic,61.98,2025-10-01,,active,monthly
424,391,Basic,45.98,2025-02-01,2026-01-01,canceled,monthly
425,392,Basic,57.94,2025-02-01,2026-06-01,canceled,monthly
426,393,Pro,221.53,2025-03-01,2025-07-01,downgraded,monthly
427,393,Basic,44.32,2025-08-01,,active,monthly
428,394,Pro,225.59,2025-06-01,2026-02-01,canceled,monthly
429,395,Enterprise,830.84,2025-11-01,,active,monthly
430,396,Pro,217.29,2025-07-01,,active,monthly
431,397,Pro,244.79,2026-01-01,,active,monthly
432,398,Basic,60.61,2025-12-01,,active,monthly
433,399,Pro,254.29,2025-01-01,2025-09-01,canceled,monthly
434,400,Basic,54.42,2025-05-01,2025-11-01,canceled,monthly
435,401,Pro,213.19,2025-10-01,2026-01-01,upgraded,monthly
436,401,Enterprise,885.93,2026-02-01,,active,monthly
437,402,Enterprise,1085.99,2025-07-01,2026-06-01,downgraded,monthly
438,402,Basic,46.59,2026-07-01,,active,monthly
439,403,Basic,45.16,2025-01-01,,active,monthly
440,404,Pro,226.83,2024-12-01,,active,monthly
441,405,Basic,42.63,2025-11-01,,active,monthly
442,406,Enterprise,952.39,2025-05-01,2025-07-01,canceled,monthly
443,407,Enterprise,937.49,2025-04-01,2025-12-01,downgraded,monthly
444,407,Basic,42.88,2026-01-01,2026-02-01,canceled,monthly
445,408,Basic,55.18,2025-05-01,2026-03-01,canceled,monthly
446,409,Pro,215.15,2025-04-01,2025-06-01,downgraded,monthly
447,409,Basic,47.97,2025-07-01,,active,monthly
448,410,Basic,46.57,2025-08-01,,active,monthly
449,411,Enterprise,1149.72,2025-02-01,2025-03-01,canceled,monthly
450,412,Enterprise,1100.24,2025-08-01,,active,monthly
451,413,Basic,52.81,2024-11-01,2025-10-01,canceled,monthly
452,414,Basic,62.4,2025-03-01,,active,monthly
453,415,Enterprise,808.11,2025-01-01,2025-03-01,downgraded,monthly
454,415,Basic,61.84,2025-04-01,2025-12-01,canceled,monthly
455,416,Pro,189.84,2026-04-01,,active,monthly
