customer_id,industry,company_size,country,acquisition_channel,cac,plan_tier,mrr_value,tenure_days,churned,avg_logins,total_logins,last_login_date,active_months,usage_trend_pct,total_invoices,failed_invoices,failure_rate,total_tickets,unresolved_tickets,avg_csat
22,Legal,Small,United States,Partner,386.86,Enterprise,1077.81,182,1,33.0,198,2026-03-01,6,-0.5857142857142857,6,0,0.0,2.0,0.0,3.0
23,Media,Small,Australia,Paid Search,421.13,Basic,59.68,151,1,0.2,1,2026-03-01,5,0.0,5,0,0.0,0.0,0.0,
24,Legal,Small,Germany,Organic,45.4,Pro,246.26,303,0,6.888888888888889,62,2026-07-01,9,1.3636363636363638,9,0,0.0,3.0,1.0,4.5
25,Hospitality,Small,United States,Organic,55.66,Pro,244.41,61,1,3.0,6,2025-06-01,2,,2,0,0.0,1.0,0.0,2.0
26,Hospitality,Enterprise,United Kingdom,Paid Search,431.32,Basic,62.42,122,1,0.75,3,2025-09-01,4,0.0,4,0,0.0,0.0,0.0,
27,Healthcare,Small,United States,Paid Search,329.34,Basic,49.19,122,1,4.25,17,2026-06-01,4,-0.21428571428571436,4,2,0.5,0.0,0.0,
28,Edtech,Small,India,Organic,37.59,Basic,59.83,92,1,1.0,3,2025-09-01,3,,3,0,0.0,2.0,0.0,1.0
29,Healthcare,Small,United States,Organic,54.25,Pro,238.24,242,0,7.571428571428571,53,2026-07-01,7,-0.2222222222222222,7,1,0.14285714285714285,1.0,1.0,
30,Healthcare,Mid-Market,United Kingdom,Organic,49.91,Enterprise,1137.16,395,0,37.416666666666664,449,2026-07-01,12,0.10280373831775715,12,1,0.08333333333333333,1.0,0.0,5.0
31,Logistics,Mid-Market,India,Referral,93.58,Basic,48.4,30,1,5.0,5,2025-04-01,1,,1,0,0.0,1.0,0.0,1.0
32,Manufacturing,Mid-Market,United States,Organic,50.96,Basic,42.39,548,0,2.411764705882353,41,2026-07-01,17,1.7999999999999998,17,1,0.058823529411764705,4.0,0.0,3.75
33,Manufacturing,Small,United States,Paid Search,523.02,Pro,225.09,395,0,16.833333333333332,202,2026-07-01,12,-0.0943396226415095,12,0,0.0,3.0,0.0,4.0
34,Edtech,Small,United States,Outbound Sales,624.85,Basic,50.73,31,1,0.0,0,2025-08-01,1,,1,0,0.0,1.0,0.0,2.0
35,Healthcare,Mid-Market,United States,Outbound Sales,819.73,Basic,53.3,395,1,4.769230769230769,62,2026-04-01,13,-0.6470588235294118,13,0,0.0,3.0,0.0,3.6666666666666665
36,Legal,Small,India,Paid Search,512.56,Pro,203.52,303,0,10.444444444444445,94,2026-07-01,9,0.06896551724137943,9,0,0.0,2.0,1.0,5.0
37,Fintech,Small,Australia,Outbound Sales,575.99,Enterprise,869.6,212,1,21.142857142857142,148,2025-06-01,7,-0.6477272727272727,7,1,0.14285714285714285,0.0,0.0,
38,Media,Mid-Market,Australia,Partner,389.3,Pro,229.09,334,1,8.545454545454545,94,2026-07-01,11,-0.39285714285714285,11,3,0.2727272727272727,0.0,0.0,
39,Legal,Small,United States,Organic,52.83,Basic,56.94,395,0,6.666666666666667,80,2026-07-01,12,-0.39285714285714285,12,1,0.08333333333333333,0.0,0.0,
40,Manufacturing,Small,United Kingdom,Organic,60.59,Basic,52.25,182,1,4.833333333333333,29,2025-05-01,6,-0.3888888888888889,6,0,0.0,3.0,0.0,2.0
41,Edtech,Small,United Kingdom,Referral,142.04,Pro,206.38,456,0,12.785714285714286,179,2026-07-01,14,0.14285714285714296,14,0,0.0,4.0,0.0,3.75
42,Manufacturing,Mid-Market,United Kingdom,Referral,91.37,Basic,53.8,214,1,4.857142857142857,34,2025-10-01,7,0.2999999999999999,7,0,0.0,0.0,0.0,
43,Logistics,Small,India,Organic,32.88,Basic,44.61,395,0,7.25,87,2026-07-01,12,-0.40740740740740744,12,2,0.16666666666666666,2.0,0.0,5.0
44,Edtech,Mid-Market,United States,Partner,242.12,Pro,222.02,152,0,4.75,19,2026-07-01,4,0.09090909090909095,4,0,0.0,1.0,0.0,4.0
45,Edtech,Mid-Market,India,Referral,77.81,Basic,55.38,334,0,6.3,63,2026-07-01,10,-0.3,10,1,0.1,1.0,0.0,4.0
46,Media,Small,United States,Referral,118.96,Basic,59.92,365,1,2.9166666666666665,35,2026-02-01,12,3.0,12,1,0.08333333333333333,2.0,0.0,3.0
47,Fintech,Enterprise,Canada,Outbound Sales,872.07,Basic,48.65,211,0,4.0,24,2026-07-01,6,-0.8571428571428571,6,0,0.0,0.0,0.0,
48,Fintech,Small,Germany,Organic,59.25,Pro,207.07,183,0,9.2,46,2026-07-01,5,0.15384615384615394,5,1,0.2,3.0,1.0,3.5
49,Legal,Mid-Market,United States,Organic,58.88,Basic,41.73,303,0,7.0,63,2026-07-01,9,0.15789473684210528,9,1,0.1111111111111111,3.0,1.0,4.0
50,Hospitality,Enterprise,United States,Referral,122.77,Basic,56.97,426,0,6.230769230769231,81,2026-07-01,13,-0.42857142857142855,13,0,0.0,2.0,0.0,4.0
51,Hospitality,Mid-Market,India,Partner,365.43,Basic,57.82,120,1,2.25,9,2025-04-01,4,-0.7777777777777778,4,0,0.0,3.0,0.0,2.0
52,Manufacturing,Mid-Market,United States,Partner,379.96,Basic,53.93,214,1,1.7142857142857142,12,2025-10-01,7,0.5000000000000001,7,0,0.0,3.0,0.0,2.0
53,Fintech,Mid-Market,Australia,Paid Search,611.7,Pro,195.37,273,0,20.375,163,2026-07-01,8,0.0862068965517242,8,0,0.0,2.0,0.0,3.5
54,Healthcare,Small,Germany,Partner,300.55,Basic,41.68,364,0,6.0,66,2026-07-01,11,-0.4782608695652174,11,0,0.0,3.0,0.0,4.333333333333333
55,Healthcare,Small,United States,Referral,118.81,Basic,53.7,517,0,7.875,126,2026-07-01,16,0.0,16,3,0.1875,4.0,0.0,3.5
56,Fintech,Small,India,Organic,43.32,Pro,234.22,548,0,13.647058823529411,232,2026-07-01,17,-0.25,17,0,0.0,3.0,0.0,3.6666666666666665
57,Hospitality,Small,United States,Organic,69.5,Pro,211.4,303,0,20.0,180,2026-07-01,9,-0.01639344262295076,9,0,0.0,1.0,0.0,4.0
58,Media,Small,United States,Organic,51.61,Basic,62.99,92,1,1.6666666666666667,5,2025-09-01,3,,3,0,0.0,2.0,0.0,1.5
59,Hospitality,Small,India,Referral,120.45,Basic,53.99,61,1,5.5,11,2025-07-01,2,,2,0,0.0,2.0,0.0,1.5
60,Legal,Small,United States,Paid Search,499.73,Pro,178.53,334,0,3.8,38,2026-07-01,10,0.0,10,0,0.0,1.0,0.0,4.0
61,Legal,Small,Canada,Partner,242.11,Enterprise,1079.91,699,0,20.727272727272727,456,2026-07-01,22,0.05084745762711864,22,1,0.045454545454545456,1.0,0.0,5.0
62,Healthcare,Mid-Market,United States,Paid Search,636.9,Pro,238.43,243,1,18.125,145,2025-08-01,8,-0.5833333333333334,8,0,0.0,3.0,0.0,4.0
63,Manufacturing,Mid-Market,United States,Outbound Sales,984.89,Pro,193.56,153,1,6.0,30,2025-12-01,5,-0.5357142857142858,5,0,0.0,2.0,0.0,3.0
64,Logistics,Mid-Market,United States,Paid Search,635.78,Basic,42.31,153,1,3.6,18,2025-09-01,5,-0.3571428571428572,5,0,0.0,1.0,0.0,1.0
65,Fintech,Small,United States,Organic,47.03,Enterprise,911.67,123,1,12.0,48,2025-01-01,4,-0.4042553191489361,4,1,0.25,1.0,1.0,
66,Retail,Small,India,Organic,73.4,Basic,50.0,456,0,7.857142857142857,110,2026-07-01,14,-0.23076923076923067,14,0,0.0,3.0,0.0,4.0
67,Legal,Mid-Market,India,Referral,116.15,Basic,50.67,183,1,3.3333333333333335,20,2025-09-01,6,-0.8235294117647058,6,0,0.0,2.0,1.0,2.0
68,Legal,Small,Germany,Referral,106.03,Basic,63.52,89,1,5.0,15,2026-04-01,3,,3,0,0.0,3.0,0.0,2.3333333333333335
69,Logistics,Mid-Market,India,Organic,58.09,Pro,230.67,30,1,3.0,3,2025-11-01,1,,1,0,0.0,0.0,0.0,
70,Fintech,Small,India,Paid Search,464.19,Basic,50.52,183,1,3.1666666666666665,19,2025-09-01,6,-0.41666666666666663,6,2,0.3333333333333333,1.0,1.0,
71,Fintech,Small,United States,Outbound Sales,790.55,Enterprise,962.05,211,0,45.166666666666664,271,2026-07-01,6,0.05303030303030309,6,0,0.0,0.0,0.0,
72,Hospitality,Small,United States,Partner,315.57,Basic,48.48,303,0,5.888888888888889,53,2026-07-01,9,-0.5185185185185186,9,0,0.0,0.0,0.0,
73,Real Estate,Mid-Market,United Kingdom,Referral,130.86,Basic,47.49,30,1,0.0,0,2025-06-01,1,,1,0,0.0,1.0,0.0,2.0
74,Healthcare,Mid-Market,United States,Partner,343.6,Pro,254.0,184,1,9.166666666666666,55,2025-08-01,6,-0.3823529411764706,6,0,0.0,0.0,0.0,
75,Logistics,Enterprise,India,Paid Search,374.71,Pro,248.33,122,0,20.333333333333332,61,2026-07-01,3,,3,0,0.0,1.0,0.0,3.0
76,Retail,Mid-Market,India,Partner,387.15,Pro,183.72,273,0,10.5,84,2026-07-01,8,0.0,8,0,0.0,2.0,0.0,4.5
77,Hospitality,Enterprise,Australia,Paid Search,391.14,Pro,254.14,638,0,3.35,67,2026-07-01,20,-0.5,20,0,0.0,4.0,1.0,3.3333333333333335
78,Healthcare,Small,United States,Outbound Sales,1113.56,Pro,233.77,517,0,17.5,280,2026-07-01,16,-0.08000000000000003,16,2,0.125,5.0,0.0,3.6
79,Healthcare,Small,Canada,Outbound Sales,1330.27,Basic,46.63,548,0,5.470588235294118,93,2026-07-01,17,0.4375000000000001,17,1,0.058823529411764705,4.0,0.0,4.0
80,Fintech,Mid-Market,United States,Referral,151.96,Pro,239.71,548,0,9.117647058823529,155,2026-07-01,17,-0.06451612903225817,17,0,0.0,3.0,1.0,3.0
81,Legal,Small,Germany,Organic,41.26,Pro,215.28,31,1,6.0,6,2025-10-01,1,,1,0,0.0,1.0,0.0,2.0
82,Logistics,Small,Australia,Paid Search,449.01,Basic,52.86,61,1,0.0,0,2025-06-01,2,,2,0,0.0,1.0,0.0,2.0
83,Hospitality,Mid-Market,United Kingdom,Referral,107.0,Pro,179.4,577,1,6.684210526315789,127,2026-07-01,19,0.07142857142857136,19,2,0.10526315789473684,1.0,0.0,4.0
84,Edtech,Enterprise,United States,Organic,52.55,Basic,50.94,364,0,10.636363636363637,117,2026-07-01,11,-0.3589743589743589,11,1,0.09090909090909091,2.0,0.0,3.5
85,Logistics,Small,United States,Partner,250.18,Basic,63.58,395,1,3.6923076923076925,48,2026-04-01,13,-0.1333333333333334,13,0,0.0,2.0,1.0,4.0
86,Manufacturing,Enterprise,India,Paid Search,603.01,Pro,177.11,273,1,2.888888888888889,26,2026-06-01,9,0.0,9,2,0.2222222222222222,0.0,0.0,
87,Legal,Small,India,Organic,41.47,Basic,62.34,607,0,4.684210526315789,89,2026-07-01,19,-0.28571428571428575,19,1,0.05263157894736842,4.0,1.0,4.0
88,Healthcare,Mid-Market,India,Referral,118.55,Pro,235.66,245,1,15.875,127,2026-12-01,8,-0.6363636363636364,8,0,0.0,2.0,0.0,4.0
89,Edtech,Enterprise,United States,Organic,45.71,Basic,47.61,183,0,4.0,20,2026-07-01,5,-0.33333333333333337,5,0,0.0,1.0,0.0,5.0
90,Manufacturing,Enterprise,Canada,Organic,55.72,Enterprise,929.95,426,1,2.142857142857143,30,2025-11-01,14,1.3333333333333335,14,0,0.0,1.0,1.0,
91,Hospitality,Small,Canada,Organic,55.92,Pro,257.04,456,0,22.785714285714285,319,2026-07-01,14,-0.02816901408450709,14,0,0.0,2.0,0.0,3.5
92,Edtech,Mid-Market,United Kingdom,Paid Search,456.11,Basic,61.53,304,1,4.3,43,2026-04-01,10,-0.41666666666666663,10,2,0.2,3.0,2.0,5.0
93,Retail,Mid-Market,Australia,Organic,48.61,Basic,46.17,426,0,3.076923076923077,40,2026-07-01,13,0.2999999999999999,13,2,0.15384615384615385,0.0,0.0,
94,Retail,Small,United States,Paid Search,559.83,Pro,230.05,548,0,12.764705882352942,217,2026-07-01,17,0.057142857142857245,17,1,0.058823529411764705,5.0,0.0,3.8
95,Healthcare,Mid-Market,United States,Outbound Sales,469.64,Basic,50.85,426,0,7.769230769230769,101,2026-07-01,13,0.0,13,1,0.07692307692307693,1.0,0.0,4.0
96,Manufacturing,Mid-Market,United States,Outbound Sales,981.56,Pro,214.4,122,1,6.75,27,2025-11-01,4,-0.41666666666666663,4,0,0.0,2.0,0.0,2.0
97,Legal,Mid-Market,United Kingdom,Referral,141.01,Basic,50.87,211,0,1.6666666666666667,10,2026-07-01,6,-0.5714285714285715,6,0,0.0,0.0,0.0,
98,Logistics,Mid-Market,United States,Paid Search,435.12,Pro,245.53,151,1,2.8,14,2025-03-01,5,-0.7857142857142857,5,0,0.0,2.0,0.0,1.5
99,Edtech,Mid-Market,United States,Referral,130.23,Pro,245.54,152,0,6.25,25,2026-07-01,4,0.15789473684210528,4,0,0.0,1.0,0.0,3.0
100,Hospitality,Small,India,Paid Search,440.28,Basic,44.69,303,0,6.444444444444445,58,2026-07-01,9,2.5,9,2,0.2222222222222222,3.0,0.0,3.6666666666666665
101,Edtech,Enterprise,Germany,Partner,413.72,Basic,54.81,304,1,3.0,30,2025-08-01,10,0.33333333333333326,10,1,0.1,2.0,0.0,3.5
102,Media,Small,United States,Paid Search,485.15,Basic,61.37,151,1,1.4,7,2026-03-01,5,-0.24999999999999994,5,1,0.2,1.0,1.0,
103,Healthcare,Small,India,Organic,63.26,Enterprise,1004.5,183,0,29.8,149,2026-07-01,5,0.15853658536585374,5,0,0.0,1.0,0.0,4.0
104,Media,Mid-Market,United Kingdom,Paid Search,623.4,Basic,62.81,151,1,4.8,24,2025-05-01,5,-0.5882352941176471,5,1,0.2,2.0,0.0,2.0
105,Media,Small,Germany,Referral,150.8,Basic,54.64,456,0,7.857142857142857,110,2026-07-01,14,-0.13043478260869565,14,0,0.0,3.0,0.0,4.0
106,Real Estate,Mid-Market,United States,Partner,312.46,Basic,60.42,607,0,2.473684210526316,47,2026-07-01,19,-0.5,19,0,0.0,4.0,1.0,3.0
107,Healthcare,Small,United States,Organic,28.36,Basic,50.66,273,1,8.0,72,2026-05-01,9,-0.5,9,0,0.0,3.0,0.0,3.0
108,Media,Mid-Market,United States,Paid Search,612.49,Basic,54.15,242,0,4.714285714285714,33,2026-07-01,7,1.3333333333333335,7,0,0.0,0.0,0.0,
109,Healthcare,Small,India,Partner,298.9,Basic,46.17,30,1,0.0,0,2025-04-01,1,,1,0,0.0,1.0,0.0,2.0
110,Edtech,Small,Canada,Paid Search,539.6,Enterprise,915.67,245,1,17.0,136,2025-12-01,8,-0.5,8,0,0.0,0.0,0.0,
111,Legal,Small,United States,Organic,36.23,Basic,41.78,426,0,2.1538461538461537,28,2026-07-01,13,3.0,13,1,0.07692307692307693,4.0,1.0,4.0
112,Fintech,Small,India,Referral,134.63,Basic,50.27,242,0,5.571428571428571,39,2026-07-01,7,0.8181818181818183,7,0,0.0,3.0,0.0,4.333333333333333
113,Fintech,Small,United States,Organic,39.81,Basic,53.66,334,1,4.2727272727272725,47,2025-12-01,11,-0.6428571428571428,11,2,0.18181818181818182,2.0,0.0,2.0
114,Real Estate,Small,India,Organic,43.01,Pro,246.69,607,0,18.68421052631579,355,2026-07-01,19,-0.01612903225806463,19,0,0.0,3.0,0.0,3.6666666666666665
115,Healthcare,Small,United Kingdom,Organic,56.43,Pro,172.26,92,1,2.6666666666666665,8,2025-08-01,3,,3,0,0.0,1.0,0.0,1.0
116,Legal,Small,Australia,Organic,65.06,Pro,253.5,273,0,18.875,151,2026-07-01,8,-0.016949152542373,8,1,0.125,1.0,0.0,5.0
117,Retail,Small,United Kingdom,Organic,43.16,Pro,203.41,-31,0,15.3,153,2027-03-01,10,0.04166666666666674,10,1,0.1,1.0,0.0,5.0
118,Healthcare,Mid-Market,United States,Paid Search,311.84,Enterprise,931.43,426,0,49.30769230769231,641,2026-07-01,13,-0.026666666666666713,13,1,0.07692307692307693,1.0,1.0,
119,Fintech,Small,United States,Referral,120.86,Pro,192.66,608,1,6.95,139,2027-05-01,20,0.07692307692307707,20,0,0.0,3.0,0.0,2.6666666666666665
120,Real Estate,Small,India,Paid Search,558.97,Pro,185.74,31,1,0.0,0,2025-01-01,1,,1,0,0.0,0.0,0.0,
121,Edtech,Small,United States,Organic,36.73,Enterprise,893.63,548,0,32.23529411764706,548,2026-07-01,17,0.22891566265060237,17,1,0.058823529411764705,3.0,0.0,3.6666666666666665
122,Retail,Mid-Market,Australia,Referral,100.37,Basic,52.13,485,1,5.375,86,2026-04-01,16,-0.3529411764705883,16,0,0.0,4.0,0.0,3.75
123,Media,Mid-Market,India,Organic,79.68,Enterprise,882.96,334,0,4.7,47,2026-07-01,10,0.25,10,0,0.0,3.0,1.0,4.0
124,Media,Small,United States,Organic,62.68,Enterprise,798.0,487,0,22.866666666666667,343,2026-07-01,15,-0.10810810810810816,15,1,0.06666666666666667,2.0,0.0,5.0
125,Real Estate,Small,India,Paid Search,453.12,Basic,42.63,61,1,1.5,3,2025-09-01,2,,2,0,0.0,2.0,0.0,1.0
126,Media,Small,United States,Organic,51.59,Pro,254.22,151,1,2.6,13,2025-04-01,5,-0.7000000000000001,5,1,0.2,2.0,1.0,4.0
127,Fintech,Enterprise,United States,Organic,18.72,Basic,44.85,365,1,4.583333333333333,55,2026-01-01,12,-0.9411764705882354,12,1,0.08333333333333333,2.0,0.0,3.5
128,Logistics,Mid-Market,United States,Outbound Sales,1054.04,Pro,179.75,181,1,9.166666666666666,55,2025-06-01,6,-0.3823529411764706,6,1,0.16666666666666666,1.0,0.0,5.0
129,Retail,Mid-Market,United States,Organic,56.6,Basic,56.85,61,1,4.5,9,2025-12-01,2,,2,0,0.0,0.0,0.0,
130,Manufacturing,Small,United States,Partner,315.56,Basic,45.9,426,0,5.384615384615385,70,2026-07-01,13,-0.22222222222222218,13,0,0.0,2.0,0.0,3.5
131,Retail,Mid-Market,India,Paid Search,398.41,Basic,55.8,335,1,3.909090909090909,43,2026-08-01,11,-0.6874999999999999,11,2,0.18181818181818182,3.0,0.0,3.3333333333333335
132,Legal,Small,India,Organic,46.17,Pro,248.56,214,1,9.285714285714286,65,2025-09-01,7,-0.5384615384615384,7,0,0.0,2.0,1.0,3.0
133,Retail,Mid-Market,United States,Paid Search,382.28,Basic,60.39,395,1,8.615384615384615,112,2026-06-01,13,-0.29629629629629634,13,1,0.07692307692307693,3.0,1.0,4.5
134,Fintech,Small,India,Paid Search,535.53,Enterprise,876.5,182,1,26.0,156,2026-03-01,6,-0.5555555555555556,6,0,0.0,2.0,0.0,2.0
135,Hospitality,Small,Australia,Partner,312.73,Basic,48.72,517,0,7.0625,113,2026-07-01,16,-0.2173913043478261,16,0,0.0,3.0,0.0,4.333333333333333
136,Edtech,Mid-Market,United Kingdom,Referral,122.68,Pro,190.49,455,1,20.2,303,2026-02-01,15,-0.5652173913043478,15,0,0.0,4.0,0.0,3.5
137,Healthcare,Mid-Market,Germany,Organic,46.02,Basic,44.67,59,1,2.5,5,2025-02-01,2,,2,0,0.0,1.0,0.0,1.0
138,Hospitality,Enterprise,India,Paid Search,414.11,Pro,195.06,395,0,7.916666666666667,95,2026-07-01,12,0.27777777777777785,12,1,0.08333333333333333,2.0,0.0,4.0
139,Hospitality,Small,Germany,Paid Search,373.9,Basic,62.52,517,0,7.0,112,2026-07-01,16,-0.6153846153846153,16,1,0.0625,4.0,0.0,4.0
140,Media,Enterprise,India,Organic,22.12,Basic,55.25,184,1,1.8333333333333333,11,2026-10-01,6,-0.42857142857142866,6,1,0.16666666666666666,0.0,0.0,
141,Logistics,Enterprise,India,Outbound Sales,700.92,Pro,220.18,517,0,14.0,224,2026-07-01,16,0.15384615384615385,16,1,0.0625,3.0,0.0,3.6666666666666665
142,Manufacturing,Mid-Market,United States,Organic,53.59,Pro,187.06,426,0,11.923076923076923,155,2026-07-01,13,-0.055555555555555504,13,1,0.07692307692307693,2.0,0.0,3.0
143,Logistics,Small,India,Partner,263.45,Pro,201.4,31,1,0.0,0,2025-07-01,1,,1,1,1.0,0.0,0.0,
144,Fintech,Mid-Market,United Kingdom,Organic,55.05,Basic,42.61,426,1,2.7142857142857144,38,2026-04-01,14,0.0,14,0,0.0,3.0,1.0,1.5
145,Real Estate,Small,Australia,Paid Search,594.78,Pro,195.33,243,1,15.625,125,2026-08-01,8,-0.4339622641509434,8,2,0.25,2.0,0.0,2.5
146,Healthcare,Mid-Market,United Kingdom,Referral,106.66,Enterprise,894.15,576,0,42.55555555555556,766,2026-07-01,18,-0.052631578947368474,18,0,0.0,5.0,1.0,3.75
147,Real Estate,Enterprise,India,Organic,36.77,Pro,242.8,365,1,10.666666666666666,128,2026-07-01,12,-0.4117647058823529,12,0,0.0,3.0,0.0,4.0
148,Healthcare,Enterprise,India,Paid Search,392.3,Pro,206.04,396,1,5.538461538461538,72,2026-07-01,13,-0.4090909090909091,13,1,0.07692307692307693,4.0,0.0,4.0
149,Legal,Enterprise,India,Paid Search,427.18,Pro,179.75,607,0,14.789473684210526,281,2026-07-01,19,0.07894736842105264,19,1,0.05263157894736842,3.0,0.0,4.333333333333333
150,Fintech,Enterprise,India,Referral,121.41,Basic,57.48,211,0,1.5,9,2026-07-01,6,1.0,6,0,0.0,1.0,0.0,3.0
151,Healthcare,Mid-Market,United States,Referral,79.76,Basic,50.07,242,1,1.0,8,2026-04-01,8,-1.0,8,1,0.125,1.0,1.0,
152,Manufacturing,Small,Australia,Paid Search,662.27,Pro,255.09,-30,0,3.0,18,2026-10-01,6,1.0,6,0,0.0,0.0,0.0,
153,Fintech,Small,Germany,Organic,81.73,Basic,44.24,30,1,5.0,5,2026-04-01,1,,1,0,0.0,1.0,0.0,1.0
154,Legal,Small,United States,Partner,339.3,Pro,248.13,120,1,1.0,4,2025-02-01,4,0.0,4,1,0.25,2.0,0.0,3.5
155,Hospitality,Small,United States,Paid Search,424.14,Enterprise,1123.1,517,0,32.75,524,2026-07-01,16,-0.03921568627450987,16,0,0.0,5.0,1.0,4.75
156,Legal,Small,India,Organic,57.85,Basic,42.26,61,1,0.0,0,2025-10-01,2,,2,0,0.0,2.0,0.0,1.5
157,Healthcare,Small,United States,Paid Search,540.5,Pro,177.5,120,1,5.5,22,2025-04-01,4,-0.4090909090909091,4,0,0.0,2.0,0.0,2.0
158,Logistics,Mid-Market,India,Organic,48.03,Basic,56.85,426,0,3.6923076923076925,48,2026-07-01,13,1.5,13,0,0.0,2.0,0.0,4.5
159,Healthcare,Enterprise,Canada,Organic,40.01,Pro,193.74,576,0,18.5,333,2026-07-01,18,0.01851851851851845,18,1,0.05555555555555555,3.0,0.0,4.0
160,Logistics,Mid-Market,India,Organic,47.94,Pro,171.58,456,0,22.571428571428573,316,2026-07-01,14,0.031250000000000056,14,1,0.07142857142857142,1.0,0.0,4.0
161,Hospitality,Small,Australia,Organic,82.12,Basic,62.27,576,0,3.0555555555555554,55,2026-07-01,18,3.2500000000000004,18,1,0.05555555555555555,8.0,1.0,4.428571428571429
162,Manufacturing,Small,India,Paid Search,325.45,Basic,56.75,334,0,10.4,104,2026-07-01,10,0.06060606060606055,10,1,0.1,2.0,0.0,4.0
163,Logistics,Enterprise,India,Organic,53.62,Enterprise,1141.15,517,0,4.75,76,2026-07-01,16,-0.5384615384615384,16,0,0.0,1.0,0.0,3.0
164,Logistics,Small,United States,Referral,112.36,Pro,217.26,517,0,8.1875,131,2026-07-01,16,-0.08000000000000003,16,0,0.0,3.0,0.0,3.6666666666666665
165,Healthcare,Small,United States,Referral,117.32,Basic,48.9,61,1,0.5,1,2024-11-01,2,,2,0,0.0,2.0,1.0,1.0
166,Media,Small,United Kingdom,Organic,50.37,Pro,217.82,-28,0,5.666666666666667,102,2027-08-01,18,0.25,18,0,0.0,0.0,0.0,
167,Retail,Small,United States,Referral,109.48,Pro,180.27,334,0,5.7,57,2026-07-01,10,0.42857142857142855,10,0,0.0,2.0,0.0,4.0
