customer_id,company_name,industry,company_size,country,signup_date,acquisition_channel,cac
107,"Wright, Garcia and Deleon",Healthcare,Small,United States,2025-09-01,Organic,28.36
108,Dickson-Brady,Media,Mid-Market,United States,2026-01-01,Paid Search,612.49
109,Hancock and Sons,Healthcare,Small,India,2025-04-01,Partner,298.9
110,Johnson-Doyle,Edtech,Small,Canada,2025-05-01,Paid Search,539.6
111,Patton-Jenkins,Legal,Small,United States,2025-07-01,Organic,36.23
112,"Shields, Cochran and Adams",Fintech,Small,India,2026-01-01,Referral,134.63
113,"Rodriguez, Brennan and Garrison",Fintech,Small,United States,2025-02-01,Organic,39.81
114,Gonzalez Group,Real Estate,Small,India,2025-01-01,Organic,43.01
115,Torres-Pope,Healthcare,Small,United Kingdom,2025-06-01,Organic,56.43
116,Walker Ltd,Legal,Small,Australia,2025-12-01,Organic,65.06
117,Ross LLC,Retail,Small,United Kingdom,2025-10-01,Organic,43.16
118,Rasmussen LLC,Healthcare,Mid-Market,United States,2025-07-01,Paid Search,311.84
119,May-Ross,Fintech,Small,United States,2024-11-01,Referral,120.86
120,"Rivera, Johnson and Wiley",Real Estate,Small,India,2025-01-01,Paid Search,558.97
121,White-Estes,Edtech,Small,United States,2025-03-01,Organic,36.73
122,Johnson-Carlson,Retail,Mid-Market,Australia,2025-01-01,Referral,100.37
123,Chandler-Edwards,Media,Mid-Market,India,2025-10-01,Organic,79.68
124,"Joyce, Wilson and Lam",Media,Small,United States,2025-05-01,Organic,62.68
125,Scott Ltd,Real Estate,Small,India,2025-08-01,Paid Search,453.12
126,Smith-Frost,Media,Small,United States,2024-12-01,Organic,51.59
127,"Mcdaniel, Bentley and Mclaughlin",Fintech,Enterprise,United States,2025-02-01,Organic,18.72
128,Diaz Inc,Logistics,Mid-Market,United States,2025-01-01,Outbound Sales,1054.04
129,"Mccall, Hanson and Alvarado",Retail,Mid-Market,United States,2025-11-01,Organic,56.6
130,Cortez LLC,Manufacturing,Small,United States,2025-07-01,Partner,315.56
131,"Parker, Ortiz and Powell",Retail,Mid-Market,India,2025-04-01,Paid Search,398.41
132,Spencer-Lee,Legal,Small,India,2025-03-01,Organic,46.17
133,"Bentley, Byrd and Orr",Retail,Mid-Market,United States,2025-06-01,Paid Search,382.28
134,"Carroll, Sullivan and Bass",Fintech,Small,India,2025-10-01,Paid Search,535.53
135,Mitchell-Jordan,Hospitality,Small,Australia,2025-04-01,Partner,312.73
136,"Lawson, Morris and Ramos",Edtech,Mid-Market,United Kingdom,2024-12-01,Referral,122.68
137,"Lewis, Kennedy and Santana",Healthcare,Mid-Market,Germany,2025-01-01,Organic,46.02
138,"Jackson, Miller and Robertson",Hospitality,Enterprise,India,2025-08-01,Paid Search,414.11
139,"Harvey, Davis and Crane",Hospitality,Small,Germany,2025-04-01,Paid Search,373.9
140,Chambers and Sons,Media,Enterprise,India,2025-09-01,Organic,22.12
141,Hernandez Inc,Logistics,Enterprise,India,2025-04-01,Outbound Sales,700.92
142,Riggs PLC,Manufacturing,Mid-Market,United States,2025-07-01,Organic,53.59
143,Gibson Ltd,Logistics,Small,India,2025-07-01,Partner,263.45
144,"Lee, Horton and Snyder",Fintech,Mid-Market,United Kingdom,2025-03-01,Organic,55.05
145,Hernandez Ltd,Real Estate,Small,Australia,2025-10-01,Paid Search,594.78
146,Stafford Inc,Healthcare,Mid-Market,United Kingdom,2025-02-01,Referral,106.66
147,Robinson-Brock,Real Estate,Enterprise,India,2025-08-01,Organic,36.77
148,"Holmes, Williams and Wright",Healthcare,Enterprise,India,2025-07-01,Paid Search,392.3
149,Bryant Group,Legal,Enterprise,India,2025-01-01,Paid Search,427.18
150,"Schmidt, Hansen and Stewart",Fintech,Enterprise,India,2026-02-01,Referral,121.41
151,Salazar-Ball,Healthcare,Mid-Market,United States,2025-09-01,Referral,79.76
152,"Simmons, Meadows and Griffin",Manufacturing,Small,Australia,2026-02-01,Paid Search,662.27
153,Manning Group,Fintech,Small,Germany,2026-04-01,Organic,81.73
154,Green-Wright,Legal,Small,United States,2024-11-01,Partner,339.3
155,"Ramirez, Strickland and Washington",Hospitality,Small,United States,2025-04-01,Paid Search,424.14
156,Hill Inc,Legal,Small,India,2025-09-01,Organic,57.85
157,"Mitchell, Nelson and Flores",Healthcare,Small,United States,2025-01-01,Paid Search,540.5
158,"Miller, Hernandez and Reyes",Logistics,Mid-Market,India,2025-07-01,Organic,48.03
159,Mccarthy Inc,Healthcare,Enterprise,Canada,2025-02-01,Organic,40.01
160,Russell-Daniels,Logistics,Mid-Market,India,2025-06-01,Organic,47.94
161,Brown-Wall,Hospitality,Small,Australia,2025-02-01,Organic,82.12
162,Stein-Silva,Manufacturing,Small,India,2025-10-01,Paid Search,325.45
163,"Smith, Gilmore and Johnston",Logistics,Enterprise,India,2025-04-01,Organic,53.62
164,Smith-Bell,Logistics,Small,United States,2025-04-01,Referral,112.36
165,Castaneda-Ashley,Healthcare,Small,United States,2024-10-01,Referral,117.32
166,Medina-Navarro,Media,Small,United Kingdom,2025-02-01,Organic,50.37
167,"Hurst, Freeman and Nelson",Retail,Small,United States,2025-10-01,Referral,109.48
168,Johnson-Rogers,Manufacturing,Small,Germany,2025-09-01,Partner,282.81
169,"Yates, Ramsey and Pittman",Logistics,Enterprise,United States,2025-08-01,Organic,29.13
170,Hooper PLC,Real Estate,Small,United States,2025-11-01,Organic,72.06
171,Meadows PLC,Legal,Small,United States,2025-07-01,Referral,157.4
172,"Alvarado, Miller and Patterson",Healthcare,Small,Australia,2025-03-01,Partner,137.26
173,White-Green,Fintech,Small,India,2025-12-01,Partner,274.82
174,Lewis-Murphy,Manufacturing,Small,India,2025-03-01,Referral,160.38
175,Ramirez-Bean,Media,Small,Germany,2025-01-01,Outbound Sales,610.1
176,King-Miller,Retail,Mid-Market,Australia,2024-10-01,Organic,51.26
177,Curry Inc,Manufacturing,Small,India,2025-03-01,Referral,105.93
178,Walker-Jones,Manufacturing,Mid-Market,Australia,2025-01-01,Partner,339.52
179,"Williams, Johnson and Wright",Edtech,Small,United Kingdom,2025-07-01,Organic,48.02
180,Howell and Sons,Manufacturing,Mid-Market,United States,2025-06-01,Organic,60.08
181,Wells Inc,Hospitality,Small,India,2024-12-01,Organic,30.95
182,"Gould, Marshall and Scott",Edtech,Small,United States,2025-09-01,Referral,96.05
183,Jackson-Lawson,Fintech,Small,Australia,2025-08-01,Referral,138.23
184,"Higgins, Strickland and Martin",Retail,Mid-Market,India,2025-06-01,Paid Search,279.09
185,Rodriguez-Johnson,Manufacturing,Small,United States,2025-01-01,Referral,179.25
186,Johnston-Odonnell,Edtech,Mid-Market,Germany,2025-03-01,Partner,296.46
187,Sanders-Espinoza,Fintech,Small,India,2025-03-01,Paid Search,301.57
188,Vargas Ltd,Healthcare,Mid-Market,United Kingdom,2025-12-01,Partner,283.03
189,Garcia LLC,Retail,Enterprise,Germany,2025-08-01,Organic,30.92
190,"Burke, Martinez and Riggs",Edtech,Enterprise,United States,2026-02-01,Referral,118.26
191,Reed Group,Real Estate,Enterprise,India,2025-02-01,Outbound Sales,1000.49
192,"Wood, Hunter and Peterson",Logistics,Mid-Market,India,2026-02-01,Partner,284.0
193,Short-Garcia,Edtech,Small,Germany,2025-03-01,Organic,32.44
194,Reid-Poole,Edtech,Mid-Market,United Kingdom,2024-12-01,Paid Search,506.37
195,"Hernandez, Thompson and Boyd",Manufacturing,Mid-Market,United States,2024-12-01,Paid Search,376.81
196,"Nelson, Morton and Medina",Healthcare,Small,India,2025-12-01,Organic,63.04
197,Marshall-Petersen,Manufacturing,Mid-Market,United States,2025-12-01,Partner,353.5
198,"Adams, Christian and Rivas",Legal,Small,United States,2026-06-01,Partner,303.53
199,Ramirez Group,Retail,Mid-Market,India,2025-05-01,Partner,173.86
200,Christensen PLC,Logistics,Small,United States,2025-03-01,Paid Search,252.16
201,"Barnett, Rogers and Snyder",Hospitality,Mid-Market,United States,2025-03-01,Organic,25.83
202,White-Lewis,Retail,Small,Australia,2025-02-01,Partner,209.45
203,Peterson-Beard,Hospitality,Small,Australia,2025-05-01,Outbound Sales,1419.69
204,"Beard, Peters and Black",Manufacturing,Mid-Market,United States,2026-05-01,Outbound Sales,750.62
205,Miller Ltd,Media,Small,India,2025-07-01,Organic,43.53
206,Freeman-Chang,Media,Enterprise,United States,2025-10-01,Organic,42.51
207,"Alvarez, Joseph and West",Logistics,Mid-Market,Australia,2025-12-01,Outbound Sales,815.99
208,Davis and Sons,Media,Small,United States,2025-08-01,Partner,211.98
209,Holt-Torres,Legal,Enterprise,India,2025-02-01,Referral,94.8
210,"Wood, Tran and Cooper",Manufacturing,Enterprise,United States,2025-03-01,Partner,312.35
211,"Pierce, Bell and Chavez",Healthcare,Small,Germany,2025-12-01,Referral,94.48
212,King-Martinez,Hospitality,Small,United States,2025-04-01,Referral,123.14
213,Stewart Ltd,Healthcare,Mid-Market,United States,2024-12-01,Referral,15.58
214,"Tapia, Vaughn and Lee",Legal,Mid-Market,United States,2025-11-01,Referral,93.89
215,"Washington, Hardy and Bray",Media,Mid-Market,Australia,2025-03-01,Partner,369.97
216,"Carlson, Hooper and Wall",Media,Mid-Market,Germany,2025-09-01,Referral,132.65
217,Perez-White,Logistics,Mid-Market,United Kingdom,2025-07-01,Organic,45.37
218,Erickson and Sons,Edtech,Small,Germany,2025-01-01,Partner,237.48
219,Williams-Brown,Media,Small,United States,2024-09-01,Referral,120.74
220,Terry-Martinez,Hospitality,Small,India,2025-07-01,Partner,306.75
221,Garcia-Smith,Media,Enterprise,India,2025-10-01,Outbound Sales,1172.02
222,Harrison-Alexander,Logistics,Small,Australia,2024-12-01,Referral,76.76
223,Sheppard LLC,Edtech,Mid-Market,United Kingdom,2025-03-01,Organic,27.38
224,Wilson-Jones,Hospitality,Enterprise,Australia,2024-11-01,Outbound Sales,1117.13
225,Jones-Soto,Real Estate,Mid-Market,United States,2025-09-01,Partner,290.17
226,Hernandez PLC,Real Estate,Enterprise,India,2025-08-01,Organic,24.56
227,Miller-Wright,Legal,Small,India,2025-05-01,Organic,58.11
228,"Duran, Obrien and Gibbs",Fintech,Small,United Kingdom,2024-12-01,Referral,149.62
229,Rowe Group,Logistics,Mid-Market,United States,2026-02-01,Paid Search,437.11
230,Kerr-Evans,Healthcare,Small,United States,2025-04-01,Outbound Sales,1042.49
231,"Branch, Torres and Oliver",Logistics,Small,United States,2026-01-01,Organic,50.93
232,"Choi, Garcia and Farmer",Edtech,Small,India,2025-12-01,Outbound Sales,848.38
233,"Clark, Guerrero and Moore",Retail,Mid-Market,Germany,2025-12-01,Partner,334.49
234,Arnold and Sons,Edtech,Mid-Market,United States,2025-01-01,Outbound Sales,1036.69
235,Ortiz Ltd,Hospitality,Small,India,2025-10-01,Organic,54.69
236,"Harrison, Johnson and Roberts",Real Estate,Mid-Market,India,2025-02-01,Organic,40.53
237,Warner-Gibson,Hospitality,Small,Germany,2025-03-01,Paid Search,418.85
238,"Hall, Baker and Moody",Media,Small,India,2025-04-01,Referral,119.24
239,"Guerrero, Peck and Coleman",Media,Small,Germany,2025-08-01,Partner,298.19
240,"Walker, Hernandez and Baker",Fintech,Small,Canada,2025-03-01,Organic,42.86
241,Jones and Sons,Retail,Small,United Kingdom,2025-07-01,Referral,93.71
242,Larson-Holloway,Media,Small,United States,2024-11-01,Paid Search,454.24
243,Gonzales-Harrison,Fintech,Small,United Kingdom,2025-07-01,Partner,262.99
244,Lyons-Bender,Legal,Enterprise,United Kingdom,2025-08-01,Organic,44.44
245,"Fernandez, Kim and George",Retail,Mid-Market,India,2024-11-01,Referral,131.8
246,Navarro-Munoz,Healthcare,Enterprise,Germany,2025-04-01,Organic,58.52
247,Davis Ltd,Fintech,Mid-Market,Germany,2025-06-01,Paid Search,495.15
248,"Matthews, Smith and Hubbard",Legal,Small,United States,2024-12-01,Organic,77.28
249,Johnston-Hines,Real Estate,Mid-Market,United States,2025-12-01,Outbound Sales,667.9
250,Ruiz Ltd,Legal,Mid-Market,India,2025-08-01,Referral,104.12
251,Moon-White,Fintech,Mid-Market,Canada,2025-02-01,Outbound Sales,646.24
252,"Graham, Olsen and Costa",Real Estate,Small,United States,2024-12-01,Organic,57.05
253,Bailey-Cook,Edtech,Small,United Kingdom,2025-12-01,Referral,64.07
254,"Garcia, Martin and Jenkins",Legal,Mid-Market,United States,2026-04-01,Partner,232.38
255,Roberts-Landry,Edtech,Mid-Market,United Kingdom,2025-05-01,Paid Search,266.29
256,"Johnson, Miller and King",Real Estate,Mid-Market,United States,2026-01-01,Referral,102.82
257,Cordova Group,Logistics,Small,United States,2025-09-01,Referral,129.71
258,"Bryan, Smith and Booth",Logistics,Small,Australia,2025-03-01,Paid Search,417.21
259,Gutierrez-Lopez,Manufacturing,Small,India,2025-04-01,Organic,54.68
260,Dean-Jimenez,Fintech,Small,United States,2025-08-01,Partner,293.49
261,Wolf-Harris,Edtech,Mid-Market,India,2026-03-01,Organic,23.81
262,"Anderson, Roberts and Gilmore",Fintech,Mid-Market,United States,2025-05-01,Referral,127.63
263,Martinez-Dudley,Healthcare,Small,United States,2025-02-01,Organic,60.59
264,"Lloyd, Mckinney and Collins",Media,Mid-Market,Germany,2025-11-01,Referral,156.68
265,Tran Inc,Legal,Enterprise,United States,2025-02-01,Organic,50.6
266,Gay Inc,Media,Enterprise,United States,2024-11-01,Paid Search,372.65
267,Valentine-Holland,Edtech,Mid-Market,India,2025-03-01,Organic,51.74
268,Jimenez Ltd,Media,Mid-Market,India,2025-05-01,Paid Search,500.91
269,Hicks-Hill,Hospitality,Mid-Market,United States,2025-01-01,Paid Search,344.42
270,Baird-Sanchez,Real Estate,Small,United States,2026-03-01,Referral,139.33
271,"Thomas, Lee and Greene",Manufacturing,Mid-Market,United States,2025-12-01,Referral,119.07
272,"Suarez, Shields and Hill",Media,Enterprise,India,2025-12-01,Organic,75.04
273,Morgan-French,Legal,Mid-Market,United Kingdom,2025-08-01,Organic,36.38
274,Hoover-Campbell,Legal,Small,United Kingdom,2025-01-01,Outbound Sales,1267.0
275,Monroe-Carpenter,Real Estate,Mid-Market,India,2026-04-01,Partner,325.55
276,"Burns, Hernandez and Ryan",Logistics,Mid-Market,India,2025-12-01,Paid Search,611.46
277,Cook-Hines,Real Estate,Small,United Kingdom,2025-11-01,Partner,396.73
278,Gibson-Morris,Media,Small,United States,2025-06-01,Paid Search,420.59
279,Pollard and Sons,Media,Small,United Kingdom,2025-04-01,Paid Search,275.32
280,"Reyes, Chase and Jenkins",Real Estate,Mid-Market,United States,2025-02-01,Referral,110.89
281,Garner-Thornton,Hospitality,Small,India,2025-07-01,Paid Search,456.65
282,Hughes-Alvarado,Media,Small,United States,2024-10-01,Paid Search,576.69
283,"Pollard, Simpson and Johnson",Healthcare,Mid-Market,India,2025-07-01,Referral,140.4
284,"Sanford, Rivera and Garcia",Fintech,Small,United States,2026-03-01,Organic,57.19
285,Garcia-Lozano,Fintech,Small,Australia,2025-08-01,Organic,47.64
286,Bowen Group,Logistics,Small,United States,2025-05-01,Organic,56.91
287,"Booker, Jones and Harrington",Manufacturing,Small,India,2025-10-01,Paid Search,620.38
288,Morgan-Schwartz,Real Estate,Mid-Market,United States,2025-05-01,Organic,59.66
289,"Miller, Murphy and Craig",Manufacturing,Small,India,2025-02-01,Referral,124.81
290,"James, Stewart and Higgins",Logistics,Mid-Market,India,2026-03-01,Partner,229.71
291,Brennan-Johnson,Logistics,Enterprise,India,2024-11-01,Outbound Sales,1171.38
292,Young Ltd,Real Estate,Small,United States,2025-02-01,Referral,131.52
293,Bright-Francis,Legal,Small,Australia,2025-11-01,Paid Search,534.06
294,Good-Hodges,Manufacturing,Small,India,2025-11-01,Referral,98.98
295,"Brennan, Wallace and Benson",Healthcare,Mid-Market,India,2025-07-01,Referral,135.73
296,Williams Inc,Retail,Mid-Market,United States,2025-02-01,Organic,40.81
297,Howard-Jordan,Edtech,Small,India,2025-07-01,Organic,68.24
298,Schmidt PLC,Hospitality,Small,United States,2026-04-01,Referral,69.44
299,"Sparks, Jackson and Miller",Edtech,Mid-Market,United Kingdom,2025-05-01,Referral,129.08
300,Harvey-Allen,Real Estate,Enterprise,United States,2025-03-01,Organic,43.32
301,"Thomas, Murray and King",Hospitality,Small,United States,2025-02-01,Organic,42.67
302,Estrada-Nolan,Real Estate,Small,Germany,2024-12-01,Organic,47.53
303,Santana-Byrd,Logistics,Mid-Market,United Kingdom,2025-12-01,Paid Search,318.08
304,Jones LLC,Fintech,Mid-Market,United Kingdom,2026-05-01,Referral,83.0
305,"Evans, Hayden and Vaughn",Fintech,Small,United States,2025-05-01,Referral,90.28
306,Bruce-Gonzalez,Healthcare,Small,India,2024-12-01,Partner,347.21
307,Castaneda-Rodriguez,Logistics,Small,Germany,2025-08-01,Outbound Sales,779.87
308,Armstrong-Andrews,Media,Mid-Market,Australia,2026-05-01,Paid Search,291.7
309,"Phillips, Spence and Barrett",Healthcare,Mid-Market,India,2025-06-01,Organic,43.41
310,Smith-Grimes,Edtech,Small,United Kingdom,2025-10-01,Organic,54.52
311,"Beltran, Lozano and Mcgee",Logistics,Small,United States,2025-03-01,Organic,51.09
312,Parsons-Hall,Hospitality,Small,India,2025-04-01,Referral,141.24
313,Robinson-Lee,Manufacturing,Enterprise,India,2026-01-01,Outbound Sales,813.41
314,Byrd-Le,Manufacturing,Enterprise,Germany,2025-01-01,Paid Search,502.2
315,"Becker, Taylor and Davis",Legal,Small,Germany,2025-12-01,Partner,261.97
316,"Lucas, Parker and Alexander",Manufacturing,Enterprise,United Kingdom,2025-02-01,Paid Search,423.41
317,"Diaz, Anderson and Browning",Media,Mid-Market,Germany,2025-08-01,Organic,80.81
318,Burgess-Thompson,Healthcare,Small,India,2025-02-01,Paid Search,416.23
319,Buchanan LLC,Manufacturing,Small,United States,2025-04-01,Organic,56.35
320,"Shaw, Nelson and Martin",Fintech,Small,India,2025-03-01,Paid Search,456.07
321,Coffey-Phillips,Fintech,Small,United States,2025-08-01,Referral,91.0
322,Brock-Mcdonald,Hospitality,Enterprise,India,2025-10-01,Organic,55.21
323,Taylor and Sons,Real Estate,Small,United Kingdom,2024-11-01,Outbound Sales,773.18
324,"Ramsey, Whitney and Coffey",Media,Small,United States,2025-03-01,Referral,107.67
325,"Diaz, Gibbs and Smith",Manufacturing,Mid-Market,Canada,2025-06-01,Partner,184.93
326,"Martinez, Richardson and Curry",Healthcare,Enterprise,India,2025-06-01,Organic,61.41
327,Richards-Carson,Real Estate,Mid-Market,United States,2025-05-01,Paid Search,585.88
328,Rodriguez-Hall,Real Estate,Small,United States,2025-10-01,Paid Search,414.38
329,Harvey PLC,Manufacturing,Small,United States,2024-10-01,Partner,308.16
330,Herman-Walker,Real Estate,Mid-Market,United States,2024-10-01,Outbound Sales,648.31
331,Reid Group,Fintech,Mid-Market,India,2026-03-01,Organic,25.5
